,gene,transcript,protein_change,score,pvalue,qvalue,info
0,ARID1A,ENST00000324856,.,.,8.0,3.569074074074075e-06,SAMPLES=466;SNV=413;INDEL=111;STRATIFIED_FDR=1.1921052631578947e-07
4935,PRICKLE1,ENST00000455697,.,.,0.44750212885249446,1.0,SAMPLES=109;SNV=111;INDEL=1;STRATIFIED_FDR=1.0
4936,LZTS1,ENST00000381569,.,.,0.44699129427263723,1.0,SAMPLES=76;SNV=79;INDEL=1;STRATIFIED_FDR=1.0
4937,CAGE1,ENST00000502583,.,.,0.4469426746832326,1.0,SAMPLES=60;SNV=60;INDEL=0;STRATIFIED_FDR=1.0
4938,MTERFD1,ENST00000287025,.,.,0.44689406053621783,1.0,SAMPLES=40;SNV=40;INDEL=1;STRATIFIED_FDR=1.0
4939,MCU,ENST00000373053,.,.,0.4467725489711423,1.0,SAMPLES=24;SNV=22;INDEL=2;STRATIFIED_FDR=1.0
4940,PVALB,ENST00000216200,.,.,0.44667536419156956,1.0,SAMPLES=13;SNV=13;INDEL=0;STRATIFIED_FDR=1.0
4941,RPS21,ENST00000343986,.,.,0.4465903453456483,1.0,SAMPLES=10;SNV=9;INDEL=1;STRATIFIED_FDR=1.0
4942,C3orf36,ENST00000408895,.,.,0.44657820115477453,1.0,SAMPLES=24;SNV=24;INDEL=0;STRATIFIED_FDR=1.0
4943,REPS2,ENST00000357277,.,.,0.4465053431400246,1.0,SAMPLES=51;SNV=50;INDEL=1;STRATIFIED_FDR=1.0
4944,LDOC1L,ENST00000341255,.,.,0.4463475260265256,1.0,SAMPLES=30;SNV=33;INDEL=0;STRATIFIED_FDR=1.0
4945,MCM3,ENST00000596288,.,.,0.44628684240382105,1.0,SAMPLES=60;SNV=62;INDEL=2;STRATIFIED_FDR=1.0
4946,POLR2J2,ENST00000591000,.,.,0.4462747066967267,1.0,SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=1.0
4947,NDP,ENST00000378062,.,.,0.44622616725920616,1.0,SAMPLES=10;SNV=10;INDEL=0;STRATIFIED_FDR=1.0
4948,LRRC43,ENST00000339777,.,.,0.4461412362954265,1.0,SAMPLES=87;SNV=89;INDEL=0;STRATIFIED_FDR=1.0
4949,PDK1,ENST00000282077,.,.,0.446080581488565,1.0,SAMPLES=32;SNV=33;INDEL=0;STRATIFIED_FDR=1.0
4950,DCAF8,ENST00000368073,.,.,0.4459714241791269,1.0,SAMPLES=54;SNV=55;INDEL=1;STRATIFIED_FDR=1.0
4951,DERL2,ENST00000158771,.,.,0.44592291862461136,1.0,SAMPLES=12;SNV=12;INDEL=0;STRATIFIED_FDR=1.0
4952,VAT1,ENST00000355653,.,.,0.44583804693787654,1.0,SAMPLES=28;SNV=28;INDEL=0;STRATIFIED_FDR=1.0
4953,PHACTR1,ENST00000434977,.,.,0.4456925911944409,1.0,SAMPLES=14;SNV=14;INDEL=0;STRATIFIED_FDR=1.0
4954,TNFRSF6B,ENST00000369996,.,.,0.4454866122490044,1.0,SAMPLES=21;SNV=22;INDEL=0;STRATIFIED_FDR=1.0
4955,FLRT2,ENST00000330753,.,.,0.44546238585333225,1.0,SAMPLES=191;SNV=200;INDEL=1;STRATIFIED_FDR=1.0
4956,TCP11L2,ENST00000299045,.,.,0.44542604879356545,1.0,SAMPLES=49;SNV=51;INDEL=0;STRATIFIED_FDR=1.0
4957,RUFY1,ENST00000319449,.,.,0.445389714773836,1.0,SAMPLES=54;SNV=53;INDEL=2;STRATIFIED_FDR=1.0
4958,SRP72,ENST00000342756,.,.,0.4453776041094021,1.0,SAMPLES=52;SNV=51;INDEL=3;STRATIFIED_FDR=1.0
4959,PELO,ENST00000274311,.,.,0.4453533837936352,1.0,SAMPLES=30;SNV=28;INDEL=2;STRATIFIED_FDR=1.0
4960,ZC3H12C,ENST00000278590,.,.,0.44528073094978593,1.0,SAMPLES=70;SNV=72;INDEL=0;STRATIFIED_FDR=1.0
4961,EOGT,ENST00000295571,.,.,0.4452686233240334,1.0,SAMPLES=26;SNV=26;INDEL=0;STRATIFIED_FDR=1.0
4962,NYX,ENST00000342595,.,.,0.4451959846571392,1.0,SAMPLES=38;SNV=38;INDEL=1;STRATIFIED_FDR=1.0
4963,MINPP1,ENST00000371996,.,.,0.4451959846571392,1.0,SAMPLES=30;SNV=30;INDEL=0;STRATIFIED_FDR=1.0
4964,ATP11B,ENST00000323116,.,.,0.4451838793937515,1.0,SAMPLES=78;SNV=82;INDEL=3;STRATIFIED_FDR=1.0
4965,AASDH,ENST00000205214,.,.,0.44511125489828063,1.0,SAMPLES=102;SNV=100;INDEL=4;STRATIFIED_FDR=1.0
4966,DUSP14,ENST00000487847,.,.,0.44508704943166516,1.0,SAMPLES=25;SNV=21;INDEL=4;STRATIFIED_FDR=1.0
4967,PDCD1LG2,ENST00000397747,.,.,0.4450507437611074,1.0,SAMPLES=16;SNV=16;INDEL=0;STRATIFIED_FDR=1.0
4968,TAC3,ENST00000458521,.,.,0.44497814152384774,1.0,SAMPLES=15;SNV=14;INDEL=1;STRATIFIED_FDR=1.0
4969,SNRK,ENST00000296088,.,.,0.44491764892949937,1.0,SAMPLES=49;SNV=50;INDEL=2;STRATIFIED_FDR=1.0
4970,C12orf65,ENST00000253233,.,.,0.44488135741694473,1.0,SAMPLES=11;SNV=11;INDEL=0;STRATIFIED_FDR=1.0
4971,RPL11,ENST00000374550,.,.,0.44474831447777335,1.0,SAMPLES=22;SNV=22;INDEL=1;STRATIFIED_FDR=1.0
4972,FAM154B,ENST00000339465,.,.,0.4447241292306822,1.0,SAMPLES=32;SNV=33;INDEL=0;STRATIFIED_FDR=1.0
4973,RP11-318A15.7,ENST00000587459,.,.,0.4446636720047332,1.0,SAMPLES=6;SNV=6;INDEL=0;STRATIFIED_FDR=1.0
4974,BST1,ENST00000265016,.,.,0.44462740170849097,1.0,SAMPLES=23;SNV=23;INDEL=0;STRATIFIED_FDR=1.0
4975,ASTE1,ENST00000264992,.,.,0.4445911344411256,1.0,SAMPLES=39;SNV=39;INDEL=1;STRATIFIED_FDR=1.0
4976,ALCAM,ENST00000306107,.,.,0.4445427827953505,1.0,SAMPLES=66;SNV=66;INDEL=2;STRATIFIED_FDR=1.0
4977,NEUROG1,ENST00000314744,.,.,0.4445427827953505,1.0,SAMPLES=23;SNV=22;INDEL=1;STRATIFIED_FDR=1.0
4978,AVP,ENST00000380293,.,.,0.44453069572498044,1.0,SAMPLES=14;SNV=15;INDEL=0;STRATIFIED_FDR=1.0
4979,IRGM,ENST00000522154,.,.,0.4445186089910025,1.0,SAMPLES=5;SNV=5;INDEL=0;STRATIFIED_FDR=1.0
4980,OAZ1,ENST00000602676,.,.,0.4444944365321476,1.0,SAMPLES=19;SNV=21;INDEL=0;STRATIFIED_FDR=1.0
4981,CXCL16,ENST00000293778,.,.,0.4444944365321476,1.0,SAMPLES=17;SNV=20;INDEL=2;STRATIFIED_FDR=1.0
4982,HLX,ENST00000366903,.,.,0.44420447191987145,1.0,SAMPLES=76;SNV=77;INDEL=0;STRATIFIED_FDR=1.0
4983,THAP6,ENST00000311638,.,.,0.44416823995206145,1.0,SAMPLES=22;SNV=21;INDEL=1;STRATIFIED_FDR=1.0
4984,CDH5,ENST00000341529,.,.,0.44395091159961797,1.0,SAMPLES=83;SNV=86;INDEL=1;STRATIFIED_FDR=1.0
4985,OR12D2,ENST00000383555,.,.,0.44393884099046743,1.0,SAMPLES=64;SNV=67;INDEL=0;STRATIFIED_FDR=1.0
4986,F2R,ENST00000319211,.,.,0.4438784929764881,1.0,SAMPLES=52;SNV=52;INDEL=1;STRATIFIED_FDR=1.0
4987,C16orf92,ENST00000300575,.,.,0.4437457568561752,1.0,SAMPLES=20;SNV=18;INDEL=2;STRATIFIED_FDR=1.0
4988,WDR90,ENST00000293879,.,.,0.4435648184106691,1.0,SAMPLES=129;SNV=137;INDEL=1;STRATIFIED_FDR=1.0
4989,SDCBP2,ENST00000360779,.,.,0.4431308734593991,1.0,SAMPLES=22;SNV=22;INDEL=0;STRATIFIED_FDR=1.0
4990,DOK3,ENST00000357198,.,.,0.44309473094455215,1.0,SAMPLES=40;SNV=39;INDEL=1;STRATIFIED_FDR=1.0
4991,C4orf45,ENST00000434826,.,.,0.44308268410797763,1.0,SAMPLES=15;SNV=16;INDEL=0;STRATIFIED_FDR=1.0
4992,LMOD2,ENST00000458573,.,.,0.44307063760555937,1.0,SAMPLES=64;SNV=64;INDEL=0;STRATIFIED_FDR=1.0
4993,PLAT,ENST00000220809,.,.,0.44279366023446814,1.0,SAMPLES=62;SNV=63;INDEL=2;STRATIFIED_FDR=1.0
4994,CKB,ENST00000348956,.,.,0.44268532585185766,1.0,SAMPLES=25;SNV=25;INDEL=0;STRATIFIED_FDR=1.0
4995,NKX3-1,ENST00000380871,.,.,0.4426612552140849,1.0,SAMPLES=25;SNV=25;INDEL=0;STRATIFIED_FDR=1.0
4996,EPHX3,ENST00000221730,.,.,0.44258905130437776,1.0,SAMPLES=35;SNV=34;INDEL=1;STRATIFIED_FDR=1.0
4997,SEPN1,ENST00000361547,.,.,0.4424927980943421,1.0,SAMPLES=35;SNV=35;INDEL=0;STRATIFIED_FDR=1.0
4998,RERGL,ENST00000229002,.,.,0.44240859403149924,1.0,SAMPLES=44;SNV=45;INDEL=1;STRATIFIED_FDR=1.0
4999,MAGEA11,ENST00000355220,.,.,0.4423604847532199,1.0,SAMPLES=92;SNV=94;INDEL=0;STRATIFIED_FDR=1.0
5000,C17orf67,ENST00000397861,.,.,0.4423484582663132,1.0,SAMPLES=8;SNV=8;INDEL=0;STRATIFIED_FDR=1.0
5001,FOXRED1,ENST00000263578,.,.,0.44225225835853177,1.0,SAMPLES=34;SNV=36;INDEL=0;STRATIFIED_FDR=1.0
5002,PAH,ENST00000553106,.,.,0.44215607975512605,1.0,SAMPLES=101;SNV=104;INDEL=1;STRATIFIED_FDR=1.0
5003,NBEAL1,ENST00000449802,.,.,0.4420959789424338,1.0,SAMPLES=152;SNV=151;INDEL=7;STRATIFIED_FDR=1.0
5004,PRPH2,ENST00000230381,.,.,0.4418796848569974,1.0,SAMPLES=48;SNV=47;INDEL=1;STRATIFIED_FDR=1.0
5005,ELAVL4,ENST00000357083,.,.,0.4418556588290037,1.0,SAMPLES=85;SNV=85;INDEL=3;STRATIFIED_FDR=1.0
5006,OR1J1,ENST00000259357,.,.,0.44175956800649635,1.0,SAMPLES=47;SNV=44;INDEL=3;STRATIFIED_FDR=1.0
5007,KLRK1,ENST00000240618,.,.,0.4417235394286475,1.0,SAMPLES=32;SNV=31;INDEL=1;STRATIFIED_FDR=1.0
5008,VDAC1,ENST00000265333,.,.,0.44160346575100373,1.0,SAMPLES=26;SNV=26;INDEL=0;STRATIFIED_FDR=1.0
5009,RING1,ENST00000374656,.,.,0.4415914602089249,1.0,SAMPLES=42;SNV=42;INDEL=1;STRATIFIED_FDR=1.0
5010,NUDT16,ENST00000502852,.,.,0.44150743070568943,1.0,SAMPLES=17;SNV=17;INDEL=0;STRATIFIED_FDR=1.0
5011,STEAP1B,ENST00000406890,.,.,0.4414834252621378,1.0,SAMPLES=24;SNV=25;INDEL=0;STRATIFIED_FDR=1.0
5012,C6orf1,ENST00000476320,.,.,0.4413874167546387,1.0,SAMPLES=15;SNV=15;INDEL=1;STRATIFIED_FDR=1.0
5013,PLXDC2,ENST00000377252,.,.,0.4412794325474014,1.0,SAMPLES=104;SNV=111;INDEL=0;STRATIFIED_FDR=1.0
5014,NTS,ENST00000256010,.,.,0.4412554397026959,1.0,SAMPLES=19;SNV=17;INDEL=2;STRATIFIED_FDR=1.0
5015,FANCM,ENST00000267430,.,.,0.44118346912054424,1.0,SAMPLES=177;SNV=183;INDEL=4;STRATIFIED_FDR=1.0
5016,KIAA1407,ENST00000295878,.,.,0.4410155841298672,1.0,SAMPLES=109;SNV=110;INDEL=1;STRATIFIED_FDR=1.0
5017,CTB-54O9.9,ENST00000586012,.,.,0.44099160585678776,1.0,SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=1.0
5018,ZFAND1,ENST00000220669,.,.,0.4407279321926041,1.0,SAMPLES=28;SNV=28;INDEL=0;STRATIFIED_FDR=1.0
5019,GRM2,ENST00000395052,.,.,0.4404404706535043,1.0,SAMPLES=101;SNV=102;INDEL=3;STRATIFIED_FDR=1.0
5020,BEGAIN,ENST00000443071,.,.,0.44041652411170823,1.0,SAMPLES=37;SNV=39;INDEL=1;STRATIFIED_FDR=1.0
5021,ZFHX2,ENST00000419474,.,.,0.44028484172854637,1.0,SAMPLES=34;SNV=34;INDEL=2;STRATIFIED_FDR=1.0
5022,PUS7,ENST00000356362,.,.,0.44023696712320626,1.0,SAMPLES=50;SNV=47;INDEL=3;STRATIFIED_FDR=1.0
5023,BFSP2,ENST00000302334,.,.,0.4402010646322253,1.0,SAMPLES=48;SNV=48;INDEL=0;STRATIFIED_FDR=1.0
5024,CCDC80,ENST00000206423,.,.,0.439997673226633,1.0,SAMPLES=111;SNV=111;INDEL=1;STRATIFIED_FDR=1.0
5025,ULK1,ENST00000321867,.,.,0.43985416015095247,1.0,SAMPLES=113;SNV=120;INDEL=0;STRATIFIED_FDR=1.0
5026,SLC6A7,ENST00000230671,.,.,0.43979437702994084,1.0,SAMPLES=65;SNV=69;INDEL=0;STRATIFIED_FDR=1.0
5027,PHACTR4,ENST00000373839,.,.,0.4397585111070898,1.0,SAMPLES=59;SNV=62;INDEL=1;STRATIFIED_FDR=1.0
5028,ZNF93,ENST00000343769,.,.,0.4396509311068939,1.0,SAMPLES=64;SNV=64;INDEL=0;STRATIFIED_FDR=1.0
5029,SPACA3,ENST00000269053,.,.,0.4394955848049434,1.0,SAMPLES=41;SNV=42;INDEL=1;STRATIFIED_FDR=1.0
5030,ESR2,ENST00000341099,.,.,0.43925669894528807,1.0,SAMPLES=63;SNV=65;INDEL=0;STRATIFIED_FDR=1.0
5031,CLASP1,ENST00000263710,.,.,0.43916118138138993,1.0,SAMPLES=90;SNV=91;INDEL=1;STRATIFIED_FDR=1.0
5032,SGCG,ENST00000218867,.,.,0.4391492431628837,1.0,SAMPLES=37;SNV=38;INDEL=0;STRATIFIED_FDR=1.0
5033,RFC2,ENST00000055077,.,.,0.43912536771032656,1.0,SAMPLES=35;SNV=36;INDEL=0;STRATIFIED_FDR=1.0
5034,MTHFD1,ENST00000216605,.,.,0.43887475467230813,1.0,SAMPLES=64;SNV=63;INDEL=3;STRATIFIED_FDR=1.0
5035,TSHB,ENST00000256592,.,.,0.4388031775016635,1.0,SAMPLES=25;SNV=25;INDEL=0;STRATIFIED_FDR=1.0
5036,KRTAP12-3,ENST00000397907,.,.,0.4387912491200512,1.0,SAMPLES=22;SNV=23;INDEL=0;STRATIFIED_FDR=1.0
5037,PCGF5,ENST00000336126,.,.,0.43877932106605627,1.0,SAMPLES=21;SNV=20;INDEL=2;STRATIFIED_FDR=1.0
5038,GALP,ENST00000357330,.,.,0.4385289075798974,1.0,SAMPLES=22;SNV=22;INDEL=0;STRATIFIED_FDR=1.0
5039,PJA1,ENST00000361478,.,.,0.4378975529451961,1.0,SAMPLES=72;SNV=75;INDEL=0;STRATIFIED_FDR=1.0
5040,PCDH11Y,ENST00000215473,.,.,0.4378618433222926,1.0,SAMPLES=109;SNV=115;INDEL=2;STRATIFIED_FDR=1.0
5041,SLC12A4,ENST00000422611,.,.,0.43784994076711814,1.0,SAMPLES=96;SNV=94;INDEL=5;STRATIFIED_FDR=1.0
5042,SAMD9,ENST00000379958,.,.,0.4378142350587241,1.0,SAMPLES=211;SNV=226;INDEL=1;STRATIFIED_FDR=1.0
5043,AKAP8,ENST00000269701,.,.,0.43773093315343303,1.0,SAMPLES=60;SNV=60;INDEL=1;STRATIFIED_FDR=1.0
5044,H2AFY2,ENST00000373255,.,.,0.43757627199318133,1.0,SAMPLES=44;SNV=47;INDEL=1;STRATIFIED_FDR=1.0
5045,APLN,ENST00000307484,.,.,0.4375405887765721,1.0,SAMPLES=6;SNV=6;INDEL=0;STRATIFIED_FDR=1.0
5046,UBXN7,ENST00000296328,.,.,0.4371363837602678,1.0,SAMPLES=41;SNV=44;INDEL=1;STRATIFIED_FDR=1.0
5047,CKS2,ENST00000314355,.,.,0.4371126187061207,1.0,SAMPLES=9;SNV=9;INDEL=0;STRATIFIED_FDR=1.0
5048,ZSCAN12,ENST00000361028,.,.,0.4370650924988176,1.0,SAMPLES=33;SNV=35;INDEL=0;STRATIFIED_FDR=1.0
5049,WRAP53,ENST00000316024,.,.,0.4370650924988176,1.0,SAMPLES=44;SNV=45;INDEL=1;STRATIFIED_FDR=1.0
5050,ZMYM5,ENST00000382905,.,.,0.43704133134537687,1.0,SAMPLES=25;SNV=25;INDEL=1;STRATIFIED_FDR=1.0
5051,ZNF730,ENST00000597761,.,.,0.436958177544515,1.0,SAMPLES=70;SNV=72;INDEL=1;STRATIFIED_FDR=1.0
5052,LRRTM1,ENST00000295057,.,.,0.4369344222397337,1.0,SAMPLES=163;SNV=174;INDEL=4;STRATIFIED_FDR=1.0
5053,FAM227A,ENST00000406767,.,.,0.4369225450745936,1.0,SAMPLES=13;SNV=13;INDEL=0;STRATIFIED_FDR=1.0
5054,FAM133B,ENST00000445716,.,.,0.43680379128481234,1.0,SAMPLES=11;SNV=11;INDEL=0;STRATIFIED_FDR=1.0
5055,AZIN1,ENST00000337198,.,.,0.4367325545944364,1.0,SAMPLES=23;SNV=23;INDEL=0;STRATIFIED_FDR=1.0
5056,TADA1,ENST00000367874,.,.,0.4365782485057982,1.0,SAMPLES=28;SNV=28;INDEL=0;STRATIFIED_FDR=1.0
5057,ASF1A,ENST00000229595,.,.,0.4365663810772365,1.0,SAMPLES=7;SNV=7;INDEL=0;STRATIFIED_FDR=1.0
5058,SNRPD2,ENST00000342669,.,.,0.43645958881055097,1.0,SAMPLES=18;SNV=17;INDEL=2;STRATIFIED_FDR=1.0
5059,DDX26B,ENST00000370752,.,.,0.4363291005807569,1.0,SAMPLES=83;SNV=88;INDEL=0;STRATIFIED_FDR=1.0
5060,ZRANB1,ENST00000359653,.,.,0.4361393694803591,1.0,SAMPLES=44;SNV=45;INDEL=1;STRATIFIED_FDR=1.0
5061,PCNXL2,ENST00000258229,.,.,0.4361156589198256,1.0,SAMPLES=242;SNV=259;INDEL=3;STRATIFIED_FDR=1.0
5062,CCDC39,ENST00000442201,.,.,0.4361038041249757,1.0,SAMPLES=149;SNV=155;INDEL=4;STRATIFIED_FDR=1.0
5063,RLN1,ENST00000223862,.,.,0.4360563881812756,1.0,SAMPLES=19;SNV=20;INDEL=0;STRATIFIED_FDR=1.0
5064,ZNF577,ENST00000412216,.,.,0.4360445350041872,1.0,SAMPLES=12;SNV=12;INDEL=0;STRATIFIED_FDR=1.0
5065,RUNDC3B,ENST00000338056,.,.,0.4359378709657428,1.0,SAMPLES=82;SNV=82;INDEL=2;STRATIFIED_FDR=1.0
5066,DCN,ENST00000052754,.,.,0.43589047313405094,1.0,SAMPLES=65;SNV=66;INDEL=0;STRATIFIED_FDR=1.0
5067,KRTAP4-12,ENST00000394014,.,.,0.4358786244843469,1.0,SAMPLES=22;SNV=22;INDEL=0;STRATIFIED_FDR=1.0
5068,NPEPL1,ENST00000356091,.,.,0.43572462144772967,1.0,SAMPLES=54;SNV=55;INDEL=1;STRATIFIED_FDR=1.0
5069,INTS4,ENST00000534064,.,.,0.4354996382748342,1.0,SAMPLES=80;SNV=83;INDEL=0;STRATIFIED_FDR=1.0
5070,ZNF174,ENST00000268655,.,.,0.4354049433751615,1.0,SAMPLES=35;SNV=38;INDEL=0;STRATIFIED_FDR=1.0
5071,DNALI1,ENST00000296218,.,.,0.43539310796435254,1.0,SAMPLES=18;SNV=19;INDEL=0;STRATIFIED_FDR=1.0
5072,MRPS27,ENST00000261413,.,.,0.4353339357479105,1.0,SAMPLES=23;SNV=23;INDEL=0;STRATIFIED_FDR=1.0
5073,CSDC2,ENST00000306149,.,.,0.4352866037788264,1.0,SAMPLES=9;SNV=9;INDEL=0;STRATIFIED_FDR=1.0
5074,TMX3,ENST00000299608,.,.,0.4352511081869822,1.0,SAMPLES=36;SNV=35;INDEL=1;STRATIFIED_FDR=1.0
5075,S100A14,ENST00000368702,.,.,0.43513281049560376,1.0,SAMPLES=6;SNV=6;INDEL=0;STRATIFIED_FDR=1.0
5076,AADACL2,ENST00000356517,.,.,0.4349317783428983,1.0,SAMPLES=59;SNV=56;INDEL=3;STRATIFIED_FDR=1.0
5077,CDH17,ENST00000027335,.,.,0.43489631173848475,1.0,SAMPLES=128;SNV=136;INDEL=2;STRATIFIED_FDR=1.0
5078,PRSS46,ENST00000463091,.,.,0.43477811063767796,1.0,SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=1.0
5079,CCDC102A,ENST00000258214,.,.,0.4346717571458025,1.0,SAMPLES=37;SNV=36;INDEL=1;STRATIFIED_FDR=1.0
5080,RARRES3,ENST00000255688,.,.,0.43465994169868616,1.0,SAMPLES=18;SNV=18;INDEL=0;STRATIFIED_FDR=1.0
5081,C5orf64,ENST00000505642,.,.,0.43464812657301305,1.0,SAMPLES=8;SNV=8;INDEL=0;STRATIFIED_FDR=1.0
5082,DDX39A,ENST00000242776,.,.,0.4345181814008565,1.0,SAMPLES=36;SNV=35;INDEL=1;STRATIFIED_FDR=1.0
5083,C10orf76,ENST00000370033,.,.,0.4344355092577468,1.0,SAMPLES=44;SNV=42;INDEL=2;STRATIFIED_FDR=1.0
5084,SLC39A12,ENST00000377369,.,.,0.4343410460747962,1.0,SAMPLES=160;SNV=168;INDEL=1;STRATIFIED_FDR=1.0
5085,NANP,ENST00000304788,.,.,0.4342820170175915,1.0,SAMPLES=16;SNV=16;INDEL=0;STRATIFIED_FDR=1.0
5086,C10orf128,ENST00000474718,.,.,0.4341875872111361,1.0,SAMPLES=15;SNV=15;INDEL=0;STRATIFIED_FDR=1.0
5087,EDN1,ENST00000379375,.,.,0.433904420922051,1.0,SAMPLES=27;SNV=27;INDEL=0;STRATIFIED_FDR=1.0
5088,BET1L,ENST00000382762,.,.,0.4338454511768379,1.0,SAMPLES=5;SNV=5;INDEL=0;STRATIFIED_FDR=1.0
5089,KRTAP10-2,ENST00000391621,.,.,0.4338336581885841,1.0,SAMPLES=20;SNV=20;INDEL=1;STRATIFIED_FDR=1.0
5090,NPIPB15,ENST00000429990,.,.,0.433751116236059,1.0,SAMPLES=33;SNV=33;INDEL=0;STRATIFIED_FDR=1.0
5091,PSD3,ENST00000327040,.,.,0.4337039564486413,1.0,SAMPLES=84;SNV=87;INDEL=2;STRATIFIED_FDR=1.0
5092,C9orf69,ENST00000418388,.,.,0.43366858996846563,1.0,SAMPLES=8;SNV=9;INDEL=0;STRATIFIED_FDR=1.0
5093,AMICA1,ENST00000356289,.,.,0.43364501391493926,1.0,SAMPLES=45;SNV=47;INDEL=0;STRATIFIED_FDR=1.0
5094,MYCBPAP,ENST00000323776,.,.,0.43360965223418824,1.0,SAMPLES=91;SNV=93;INDEL=1;STRATIFIED_FDR=1.0
5095,SOX10,ENST00000396884,.,.,0.4335271528411852,1.0,SAMPLES=52;SNV=53;INDEL=3;STRATIFIED_FDR=1.0
5096,SLC25A31,ENST00000281154,.,.,0.43349180075537674,1.0,SAMPLES=48;SNV=49;INDEL=0;STRATIFIED_FDR=1.0
5097,EIF2AK1,ENST00000199389,.,.,0.4334093237444987,1.0,SAMPLES=67;SNV=64;INDEL=3;STRATIFIED_FDR=1.0
5098,CCDC11,ENST00000398545,.,.,0.4333386416282623,1.0,SAMPLES=59;SNV=59;INDEL=1;STRATIFIED_FDR=1.0
5099,ATP5E,ENST00000243997,.,.,0.43332686239388346,1.0,SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=1.0
5100,RGS12,ENST00000344733,.,.,0.4333150834789805,1.0,SAMPLES=143;SNV=156;INDEL=0;STRATIFIED_FDR=1.0
5101,SLC35C1,ENST00000314134,.,.,0.43320908761840826,1.0,SAMPLES=26;SNV=26;INDEL=0;STRATIFIED_FDR=1.0
5102,PCYT1B,ENST00000379145,.,.,0.43318553649549896,1.0,SAMPLES=38;SNV=36;INDEL=2;STRATIFIED_FDR=1.0
5103,FAM160A1,ENST00000435205,.,.,0.43307957224417337,1.0,SAMPLES=33;SNV=34;INDEL=0;STRATIFIED_FDR=1.0
5104,LRRC2,ENST00000395905,.,.,0.4329147903367641,1.0,SAMPLES=37;SNV=37;INDEL=0;STRATIFIED_FDR=1.0
5105,ERAP2,ENST00000437043,.,.,0.4325854139702274,1.0,SAMPLES=61;SNV=64;INDEL=0;STRATIFIED_FDR=1.0
5106,A1CF,ENST00000373995,.,.,0.43257365514742613,1.0,SAMPLES=99;SNV=100;INDEL=2;STRATIFIED_FDR=1.0
5107,C1QL2,ENST00000272520,.,.,0.4324913523012015,1.0,SAMPLES=30;SNV=31;INDEL=0;STRATIFIED_FDR=1.0
5108,BTBD9,ENST00000481247,.,.,0.4324913523012015,1.0,SAMPLES=53;SNV=54;INDEL=0;STRATIFIED_FDR=1.0
5109,SEMA3F,ENST00000002829,.,.,0.4322797880027211,1.0,SAMPLES=70;SNV=71;INDEL=0;STRATIFIED_FDR=1.0
5110,ANKRD11,ENST00000301030,.,.,0.43216229679923873,1.0,SAMPLES=243;SNV=286;INDEL=11;STRATIFIED_FDR=1.0
5111,FBXO4,ENST00000281623,.,.,0.43208007186496594,1.0,SAMPLES=42;SNV=41;INDEL=1;STRATIFIED_FDR=1.0
5112,IFLTD1,ENST00000458174,.,.,0.4320683267165087,1.0,SAMPLES=44;SNV=42;INDEL=2;STRATIFIED_FDR=1.0
5113,RARRES1,ENST00000237696,.,.,0.43203309317684574,1.0,SAMPLES=16;SNV=15;INDEL=1;STRATIFIED_FDR=1.0
5114,HPRT1,ENST00000298556,.,.,0.43197437696207325,1.0,SAMPLES=14;SNV=16;INDEL=0;STRATIFIED_FDR=1.0
5115,INHBE,ENST00000266646,.,.,0.4319391510432536,1.0,SAMPLES=33;SNV=34;INDEL=0;STRATIFIED_FDR=1.0
5116,ABCG1,ENST00000361802,.,.,0.4318452292258669,1.0,SAMPLES=70;SNV=72;INDEL=1;STRATIFIED_FDR=1.0
5117,CTNNA3,ENST00000433211,.,.,0.43172785551041415,1.0,SAMPLES=201;SNV=216;INDEL=4;STRATIFIED_FDR=1.0
5118,GARNL3,ENST00000373387,.,.,0.4315283929667587,1.0,SAMPLES=61;SNV=62;INDEL=1;STRATIFIED_FDR=1.0
5119,RAG1,ENST00000299440,.,.,0.4314462879505574,1.0,SAMPLES=144;SNV=152;INDEL=0;STRATIFIED_FDR=1.0
5120,NAT1,ENST00000545197,.,.,0.4313641984536864,1.0,SAMPLES=22;SNV=21;INDEL=1;STRATIFIED_FDR=1.0
5121,YAP1,ENST00000282441,.,.,0.4313172971353651,1.0,SAMPLES=37;SNV=37;INDEL=0;STRATIFIED_FDR=1.0
5122,CD300E,ENST00000328630,.,.,0.4309774139704364,1.0,SAMPLES=42;SNV=42;INDEL=0;STRATIFIED_FDR=1.0
5123,SHE,ENST00000304760,.,.,0.43091884029958033,1.0,SAMPLES=56;SNV=56;INDEL=1;STRATIFIED_FDR=1.0
5124,SLC9A2,ENST00000233969,.,.,0.43079000602453094,1.0,SAMPLES=134;SNV=142;INDEL=0;STRATIFIED_FDR=1.0
5125,GAS1,ENST00000298743,.,.,0.43076658571649806,1.0,SAMPLES=5;SNV=5;INDEL=0;STRATIFIED_FDR=1.0
5126,MYLK3,ENST00000394809,.,.,0.43073145762238996,1.0,SAMPLES=102;SNV=107;INDEL=2;STRATIFIED_FDR=1.0
5127,C2orf81,ENST00000290390,.,.,0.4306612099570775,1.0,SAMPLES=27;SNV=28;INDEL=1;STRATIFIED_FDR=1.0
